trial_id,laneName,frechet,speedDiff,isBest,isTarget,isMatch
1,Curve_Z,0.8603892,-0.5386689,True,Z,True
2,Curve_Z,0.5100483,-0.2100241,True,Z,True
3,Curve_Z,0.3733059,-0.210072,True,Z,True
4,Curve_Z,0.355912,-0.3671844,True,Z,True
5,Curve_Z,0.5712384,-0.6020784,True,Z,True
6,Curve_Z,0.3757153,-0.3077757,True,Z,True
7,Curve_Z,0.7373943,-0.5291305,True,Z,True
8,Curve_Z,0.1931069,0.04397273,True,Z,True
9,Curve_Z,0.696136,-0.782886,True,Z,True
10,Curve_Z,0.6636331,-0.1010213,True,Z,True
11,Curve_Z,0.5188552,-0.277133,True,Z,True
12,Curve_Z,0.2847453,-0.3524477,True,Z,True
13,Curve_Z,0.9961979,-0.5371532,True,Z,True
14,Curve_Z,0.8911052,-0.8368113,True,Z,True
15,Curve_Z,0.6122743,-0.2998979,True,Z,True
16,Curve_Z,0.9690265,-0.1899126,True,Z,True
17,Curve_Z,0.3366315,-0.2814331,True,Z,True
18,Curve_Z,0.5427215,-0.351835,True,Z,True
19,Curve_Z,0.5646371,-0.5810001,True,Z,True
20,Curve_Z,0.4573588,-0.2336068,True,Z,True
21,Curve_Z,0.3290791,-0.1887052,True,Z,True
22,Curve_Z,0.6501755,-0.2042773,True,Z,True
23,Curve_Z,0.5986184,-0.553432,True,Z,True
24,Curve_Z,0.4648164,-0.3625498,True,Z,True
25,Curve_Z,0.6058129,-0.5416713,True,Z,True
26,Curve_Z,0.4597978,-0.2377868,True,Z,True
27,Curve_Z,0.4154965,0.3753617,True,Z,True
28,Curve_Z,0.4627196,-0.3860674,True,Z,True
29,Curve_Z,0.3242682,-0.0930748,True,Z,True
30,Curve_Z,0.7887351,-0.4253726,True,Z,True
1,Curve_X,0.3439808,0.4548759,True,X,True
2,Curve_X,0.455923,0.4043407,True,X,True
3,Curve_X,0.5174397,-0.4153278,True,X,True
4,Curve_X,0.4098295,-0.7802734,True,X,True
5,Curve_X,0.7272297,-0.7600615,True,X,True
6,Curve_X,0.4217873,-0.1803517,True,X,True
7,Curve_X,0.526759,-0.3429489,True,X,True
8,Curve_X,0.5818483,-0.7408679,True,X,True
9,Curve_X,0.8374301,-0.681195,True,X,True
10,Curve_X,0.5602351,-0.4618723,True,X,True
11,Curve_X,0.6751085,-0.3958063,True,X,True
12,Curve_X,0.7768597,-0.2779999,True,X,True
13,Curve_X,0.435004,-0.1860127,True,X,True
14,Curve_X,0.8013887,-0.5771234,True,X,True
15,Curve_X,0.6823986,-0.417449,True,X,True
16,Curve_X,0.4786316,-0.3482668,True,X,True
17,Curve_X,0.7014573,-0.7739072,True,X,True
18,Curve_X,0.5994216,0.08907032,True,X,True
19,Curve_X,0.6686428,-0.2939625,True,X,True
20,Curve_X,0.4422789,-0.1588392,True,X,True
21,Curve_X,0.5888631,-0.3803623,True,X,True
22,Curve_X,0.658373,-0.504734,True,X,True
23,Curve_X,0.4444287,0.05780077,True,X,True
24,Curve_X,0.3094569,0.1186833,True,X,True
25,Curve_X,0.6853495,-0.195354,True,X,True
26,Curve_X,0.4432628,-0.2132344,True,X,True
